RECEIPTNUMBER,MERCHANTNAME,MERCHANTADDRESS,TRANSACTIONDATE,TRANSACTIONTIME,ITEMS,PRICE,TOTAL,VATTAX
# 2481371,7 - ELEVEN ®,"Poblacion , Leon , Moilo , Philippines",05 / 02 / 2023 ( Tue ),00 : 00 : 29,Mentos.JBBerLime26g,50.000,112.00,12.00
,,,,,TekkiChiliCrab77g,23.000,,
,,,,,MountainDwPET600ml,39.00V,,
